party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp,score
Independent,texas,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1
Democrat,wisconsin,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1
Independent,minnesota,NA,NA,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.375
Independent,louisiana,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0
Independent,minnesota,3,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Pat Buchanan,NA,NA,NA,NA,0.75
Republican,michigan,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Democrat,massachusetts,5,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.5
Independent,texas,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Independent,nevada,2,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.75
Independent,illinois,2,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0
Republican,new york,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Catholic,George W. Bush,NA,NA,NA,NA,0.25
Independent,ohio,3,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Republican,arizona,3,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Democrat,california,1,NA,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.125
Democrat,north carolina,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1
Independent,minnesota,NA,NA,1,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.625
Democrat,california,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.5
Independent,tennessee,3,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Democrat,massachusetts,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0
Independent,iowa,NA,NA,1,1,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.625
Independent,new york,NA,NA,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.125
Republican,indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Independent,ohio,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.75
Republican,ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Republican,tennessee,3,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Independent,texas,NA,NA,1,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.625
Independent,texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,NA
Independent,florida,NA,NA,1,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.875
Democrat,florida,NA,NA,0,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.625
Republican,ohio,3,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.75
Republican,ohio,3,NA,0.5,0.5,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.375
Independent,ohio,4,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Republican,ohio,3,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Republican,ohio,2,NA,0,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.375
Independent,texas,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Other Religion,Ralph Nader,NA,NA,NA,NA,0
Democrat,texas,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,1
Republican,michigan,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,1
Republican,north carolina,3,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Democrat,florida,NA,NA,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Democrat,louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Independent,georgia,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0
Democrat,south carolina,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0
Democrat,alabama,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,NA,NA,NA,NA,NA,0
Democrat,mississippi,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0
Independent,south carolina,3,NA,NA,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Republican,texas,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Republican,california,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Catholic,George W. Bush,NA,NA,NA,NA,0.75
Independent,california,4,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.75
Republican,arkansas,NA,NA,1,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.625
Republican,texas,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.25
Republican,texas,3,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Republican,south carolina,3,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.75
Independent,south carolina,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.75
Republican,north carolina,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0
Democrat,illinois,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.5
Independent,north carolina,3,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Independent,oklahoma,NA,NA,1,0.5,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.5
Independent,washington,2,NA,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Republican,texas,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.25
Independent,georgia,NA,NA,1,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.625
Democrat,rhode island,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.5
Independent,west virginia,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.75
Independent,california,3,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1
Independent,virginia,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Democrat,ohio,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,Al Gore,NA,NA,NA,NA,0
Independent,nevada,5,NA,0.5,0.5,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.625
Democrat,arkansas,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Republican,arkansas,3,NA,1,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.875
Independent,massachusetts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Republican,virginia,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0
Democrat,north carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,NA,NA,NA,NA,NA,NA
Democrat,washington,3,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Republican,delaware,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Catholic,Al Gore,NA,NA,NA,NA,0.5
Republican,ohio,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,1
Independent,michigan,3,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.75
Independent,ohio,3,NA,1,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.875
Independent,new york,NA,NA,0.5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Catholic,NA,NA,NA,NA,NA,0.875
Republican,pennsylvania,2,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Independent,missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Republican,tennessee,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,George W. Bush,NA,NA,NA,NA,0.5
Democrat,kansas,2,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Democrat,iowa,1,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Democrat,wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Republican,north carolina,3,NA,0,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,George W. Bush,NA,NA,NA,NA,0.375
Independent,california,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Independent,california,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Independent,pennsylvania,1,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Democrat,new york,3,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.5
Republican,iowa,3,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1
Republican,illinois,3,NA,1,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.625
Democrat,texas,3,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Democrat,tennessee,3,NA,0.5,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.375
Democrat,west virginia,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1
Republican,south dakota,NA,NA,1,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.875
Republican,connecticut,NA,NA,1,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Catholic,George W. Bush,NA,NA,NA,NA,0.875
Democrat,indiana,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,NA,NA,NA,NA,NA,1
Republican,ohio,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,George W. Bush,NA,NA,NA,NA,0
Independent,pennsylvania,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0
Independent,texas,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.75
Republican,michigan,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Republican,indiana,3,NA,0.5,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.25
Democrat,south dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Republican,ohio,NA,NA,0.5,0.5,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.375
Republican,pennsylvania,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Democrat,california,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Independent,indiana,NA,NA,1,1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.625
Independent,illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Republican,north dakota,3,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Independent,california,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Independent,georgia,3,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,1
Independent,florida,1,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Independent,florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Republican,kentucky,NA,NA,0.5,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.625
Democrat,florida,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Democrat,tennessee,3,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.5
Democrat,ohio,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.25
Independent,virginia,2,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Republican,new york,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Independent,new york,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Independent,new york,3,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Democrat,new york,3,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Ralph Nader,NA,NA,NA,NA,0.75
Democrat,texas,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1
Independent,texas,NA,NA,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.125
Democrat,texas,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,Al Gore,NA,NA,NA,NA,0
Independent,new york,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.75
Democrat,ohio,3,NA,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,Al Gore,NA,NA,NA,NA,0.75
Independent,illinois,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Democrat,illinois,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.5
Democrat,illinois,3,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Democrat,texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Independent,texas,3,NA,1,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.875
Independent,new york,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
Independent,washington,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Democrat,washington,NA,NA,1,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.625
Independent,virginia,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Ralph Nader,NA,NA,NA,NA,0
Democrat,california,3,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Independent,california,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Democrat,california,4,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.75
Independent,california,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0
Independent,wisconsin,4,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.75
Independent,wisconsin,3,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Democrat,wisconsin,3,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Democrat,new york,2,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Democrat,massachusetts,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Independent,louisiana,NA,NA,1,0.5,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Other Religion,NA,NA,NA,NA,NA,0.75
Republican,louisiana,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Democrat,louisiana,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,Al Gore,NA,NA,NA,NA,1
Democrat,georgia,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,1
Independent,virginia,NA,NA,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Other Religion,Al Gore,NA,NA,NA,NA,0.125
Democrat,virginia,2,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.5
Independent,virginia,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Independent,minnesota,2,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.5
Democrat,minnesota,NA,NA,1,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.875
Democrat,minnesota,2,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Independent,washington,NA,NA,0.5,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Ralph Nader,NA,NA,NA,NA,0.375
Independent,washington,4,NA,1,0.5,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Democrat,washington,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,Al Gore,NA,NA,NA,NA,0.25
Republican,louisiana,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,1
Republican,louisiana,3,NA,1,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,George W. Bush,NA,NA,NA,NA,0.875
Republican,louisiana,3,NA,1,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.875
Democrat,alabama,3,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.75
Republican,alabama,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,1
Independent,georgia,3,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.75
Independent,alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Protestant,NA,NA,NA,NA,NA,NA
Democrat,georgia,3,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0.5
Republican,alabama,3,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.75
Independent,alabama,2,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Other Religion,George W. Bush,NA,NA,NA,NA,0.25
Republican,alabama,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,George W. Bush,NA,NA,NA,NA,0.25
Republican,california,NA,NA,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Independent,california,3,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1
Democrat,california,NA,NA,0.5,0.5,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,Other Religion,Al Gore,NA,NA,NA,NA,0.375
Independent,oregon,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Independent,oregon,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0
Independent,michigan,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1
Democrat,michigan,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0
Republican,michigan,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Democrat,michigan,3,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,Al Gore,NA,NA,NA,NA,0.25
Independent,michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA
